"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","1753706","Andrew  Bragdon and Robert  Zeleznik and Steven P. Reiss and Suman  Karumuri and William  Cheung and Joshua  Kaplan and Christopher  Coleman and Ferdi  Adeputra and Joseph J. LaViola,Jr.","","","","Code Bubbles: A Working Set-based Interface for Code Understanding and Maintenance","2503--2512","","10","bubbles, java, multi-view, simultaneous views, source code","10.1145/1753326.1753706","","","","","","","2010","","Proceedings of the SIGCHI Conference on Human Factors in Computing Systems","CHI '10","","978-1-60558-929-9","Atlanta, Georgia, USA","ACM","New York, NY, USA"
"article","1900142","Chandan  Dasgupta","","","","That is Not My Program: Investigating the Relation Between Program Comprehension and Program Authorship","103:1--103:4","103","4","program authorship, program comprehension","10.1145/1900008.1900142","","","","","","","2010","","Proceedings of the 48th Annual Southeast Regional Conference","ACM SE '10","","978-1-4503-0064-3","Oxford, Mississippi","ACM","New York, NY, USA"
"article","1730881","Philippe  Dugerdil and Julien  Repond","","","","Automatic Generation of Abstract Views for Legacy Software Comprehension","23--32","","10","abstract view, dynamic analysis, functional component, reverse-engineering, sequence diagram, software clustering","10.1145/1730874.1730881","","","","","","","2010","","Proceedings of the 3rd India Software Engineering Conference","ISEC '10","","978-1-60558-922-0","Mysore, India","ACM","New York, NY, USA"
"article","3196324","Andrew J. Ko","","","","Mining the Mind, Minding the Mine: Grand Challenges in Comprehension and Mining","1--1","","1","mining software repositories, program comprehension","10.1145/3196321.3196324","","","","","","","2018","","Proceedings of the 26th Conference on Program Comprehension","ICPC '18","","978-1-4503-5714-2","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","2792443","Sandrine  Blazy","","","","Formal Verification of Compilers and Static Analyzers","","9","","","10.1145/2792434.2792443","","","","","","","2015","","Proceedings of the Programming Languages Mentoring Workshop","PLMW '15","","978-1-4503-3299-6","Mumbai, India","ACM","New York, NY, USA"
"article","3196339","Boyang  Li and Christopher  Vendome and Mario  Linares-V&#225;squez and Denys  Poshyvanyk","","","","Aiding Comprehension of Unit Test Cases and Test Suites with Stereotype-based Tagging","52--63","","12","maintaining software, program comprehension, unit test cases","10.1145/3196321.3196339","","","","","","","2018","","Proceedings of the 26th Conference on Program Comprehension","ICPC '18","","978-1-4503-5714-2","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","3079369","Toni  Mattis","","","","Concept-aware Live Programming: Integrating Topic Models for Program Comprehension into Live Programming Environments","36:1--36:2","36","2","Concept assignment problem, Live programming, Program comprehension, Topic models","10.1145/3079368.3079369","","","","","","","2017","","Companion to the First International Conference on the Art, Science and Engineering of Programming","Programming '17","","978-1-4503-4836-2","Brussels, Belgium","ACM","New York, NY, USA"
"article","3172879","Allenoush  Hayrapetian and Rajeev  Raje","","","","Empirically Analyzing and Evaluating Security Features in Software Requirements","9:1--9:11","9","11","Machine Learning, Neural Networks, Security, Software Requirements","10.1145/3172871.3172879","","","","","","","2018","","Proceedings of the 11th Innovations in Software Engineering Conference","ISEC '18","","978-1-4503-6398-3","Hyderabad, India","ACM","New York, NY, USA"
"article","3079386","Lars  Sch&#252;tze and Jeronimo  Castrillon","","","","Analyzing State-of-the-Art Role-based Programming Languages","9:1--9:6","9","6","Benchmarking, Optimization, Role-based Programming","10.1145/3079368.3079386","","","","","","","2017","","Companion to the First International Conference on the Art, Science and Engineering of Programming","Programming '17","","978-1-4503-4836-2","Brussels, Belgium","ACM","New York, NY, USA"
"article","3160500","Giuseppe  De Ruvo and Ewan  Tempero and Andrew  Luxton-Reilly and Gerard B. Rowe and Nasser  Giacaman","","","","Understanding Semantic Style by Analysing Student Code","73--82","","10","automated feedback, coding standards, formative feedback, novice programmers, semantic style, software quality","10.1145/3160489.3160500","","","","","","","2018","","Proceedings of the 20th Australasian Computing Education Conference","ACE '18","","978-1-4503-6340-2","Brisbane, Queensland, Australia","ACM","New York, NY, USA"
