"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","3185378","Allan  Gr&#248;nlund and Seth  Pettie","","","","Threesomes, Degenerates, and Love Triangles","22:1--22:25","22","25","3SUM, general position testing, linear degeneracy testing, triangle enumeration","10.1145/3185378","J. ACM","August 2018","65","4","","April","2018","0004-5411","","","","","","ACM","New York, NY, USA"
"issue","3208081","","&#201;va  Tardos","","","","","","","","","J. ACM","August 2018","65","4","Distributed Computing, Cryptography, Distributed Computing, Cryptography, Coding Theory, Automata Theory, Complexity Theory, Programming Languages, Algorithms, Invited Paper Foreword and Databases","August","2018","","","","","","","ACM","New York, NY, USA"
"article","3180281","Wojciech  Czerwi&Nacute;ski and Wim  Martens and Matthias  Niewerth and Pawe&#322;  Parys","","","","Minimization of Tree Patterns","26:1--26:46","26","46","XML, XPath, complexity, graph databases, graphs, optimization, pattern matching, tree patterns, trees","10.1145/3180281","J. ACM","August 2018","65","4","","July","2018","0004-5411","","","","","","ACM","New York, NY, USA"
"article","3164540","Thomas  Ehrhard and Michele  Pagani and Christine  Tasson","","","","Full Abstraction for Probabilistic PCF","23:1--23:44","23","44","Functional programming languages, full abstraction","10.1145/3164540","J. ACM","August 2018","65","4","","April","2018","0004-5411","","","","","","ACM","New York, NY, USA"
"article","3177872","Emil  Stefanov and Marten Van Dijk and Elaine  Shi and T.-H. Hubert Chan and Christopher  Fletcher and Ling  Ren and Xiangyao  Yu and Srinivas  Devadas","","","","Path ORAM: An Extremely Simple Oblivious RAM Protocol","18:1--18:26","18","26","ORAM, Oblivious RAM, Path ORAM, access pattern","10.1145/3177872","J. ACM","August 2018","65","4","","April","2018","0004-5411","","","","","","ACM","New York, NY, USA"
"article","3182653","Helmut  Seidl and Sebastian  Maneth and Gregor  Kemper","","","","Equivalence of Deterministic Top-Down Tree-to-String Transducers Is Decidable","21:1--21:30","21","30","Tree-to-string transducer, decidability, equivalence problem, macro tree transducer, polynomial ideals","10.1145/3182653","J. ACM","August 2018","65","4","","April","2018","0004-5411","","","","","","ACM","New York, NY, USA"
"article","3274401","Abbas  Ganji and Mania  Orand and David W. McDonald","","","","Ease on Down the Code: Complex Collaborative Qualitative Coding Simplified with 'Code Wizard'","132:1--132:24","132","24","collaborative coding, qualitative code disagreements, qualitative coding, qualitative coding software application","10.1145/3274401","Proc. ACM Hum.-Comput. Interact.","November 2018","2","CSCW","","November","2018","2573-0142","","","","","","ACM","New York, NY, USA"
"article","2629696","Bernhard  Haeupler","","","","Analyzing Network Coding (Gossip) Made Easy","26:1--26:22","26","22","Random linear network coding, dynamic networks, gossip, multicast","10.1145/2629696","J. ACM","September 2016","63","3","","August","2016","0004-5411","","","","","","ACM","New York, NY, USA"
"article","3320346","Zacharias  Hadjilambrou and Marios  Kleanthous and Georgia  Antoniou and Antoni  Portero and Yiannakis  Sazeides","","","","Comprehensive Characterization of an Open Source Document Search Engine","19:1--19:21","19","21","Document search, characterization, evaluation, experimentation, index partitioning, measurement, parallel index search, parallelism, performance, real hardware","10.1145/3320346","ACM Trans. Archit. Code Optim.","May 2019","16","2","","May","2019","1544-3566","","","","","","ACM","New York, NY, USA"
"article","3284127","Yu  Wang and Victor  Lee and Gu-Yeon  Wei and David  Brooks","","","","Predicting New Workload or CPU Performance by Analyzing Public Datasets","53:1--53:21","53","21","Performance prediction, benchmarking, data mining, performance comparison","10.1145/3284127","ACM Trans. Archit. Code Optim.","January 2019","15","4","","January","2019","1544-3566","","","","","","ACM","New York, NY, USA"
"article","3274320","Jessica L. Feuston and Anne Marie  Piper","","","","Beyond the Coded Gaze: Analyzing Expression of Mental Health and Illness on Instagram","51:1--51:21","51","21","critical analysis, instagram, mental health, mental illness, social media","10.1145/3274320","Proc. ACM Hum.-Comput. Interact.","November 2018","2","CSCW","","November","2018","2573-0142","","","","","","ACM","New York, NY, USA"
"article","2870636","Dmitry  Evtyushkin and Dmitry  Ponomarev and Nael  Abu-Ghazaleh","","","","Understanding and Mitigating Covert Channels Through Branch Predictors","10:1--10:23","10","23","Security, branch predictor, covert channel","10.1145/2870636","ACM Trans. Archit. Code Optim.","April 2016","13","1","","March","2016","1544-3566","","","","","","ACM","New York, NY, USA"
"article","2133385","Bita  Mazloom and Shashidhar  Mysore and Mohit  Tiwari and Banit  Agrawal and Tim  Sherwood","","","","Dataflow Tomography: Information Flow Tracking For Understanding and Visualizing Full Systems","3:1--3:26","3","26","Dataflow tracking, tomography understanding","10.1145/2133382.2133385","ACM Trans. Archit. Code Optim.","March 2012","9","1","","March","2012","1544-3566","","","","","","ACM","New York, NY, USA"
"article","1880048","Fang  Liu and Yan  Solihin","","","","Understanding the Behavior and Implications of Context Switch Misses","21:1--21:28","21","28","Context switch misses, analytical model, prefetching, stack distance profiling","10.1145/1880043.1880048","ACM Trans. Archit. Code Optim.","December 2010","7","4","","December","2010","1544-3566","","","","","","ACM","New York, NY, USA"
"article","2756552","Hsiang-Yun  Cheng and Matt  Poremba and Narges  Shahidi and Ivan  Stalev and Mary Jane  Irwin and Mahmut  Kandemir and Jack  Sampson and Yuan  Xie","","","","EECache: A Comprehensive Study on the Architectural Design for Energy-Efficient Last-Level Caches in Chip Multiprocessors","17:1--17:22","17","22","Cache, energy efficiency, power management","10.1145/2756552","ACM Trans. Archit. Code Optim.","July 2015","12","2","","July","2015","1544-3566","","","","","","ACM","New York, NY, USA"
"article","3129456","Lewis  Berman and Keith  Gallagher and Suzanne  Kozaitis","","","","Evaluating the Use of Sound in Static Program Comprehension","7:1--7:20","7","20","Sonification, applied sound, auditory display, interactive sonification, program comprehension, sound design","10.1145/3129456","ACM Trans. Appl. Percept.","November 2017","15","1","","October","2017","1544-3558","","","","","","ACM","New York, NY, USA"
"article","2629457","Filippo  Ricca and Giuseppe  Scanniello and Marco  Torchiano and Gianna  Reggio and Egidio  Astesiano","","","","Assessing the Effect of Screen Mockups on the Comprehension of Functional Requirements","1:1--1:38","1","38","Screen mockups, analysis models, controlled experiment, family of experiments, replicated experiments, use cases","10.1145/2629457","ACM Trans. Softw. Eng. Methodol.","September 2014","24","1","","October","2014","1049-331X","","","","","","ACM","New York, NY, USA"
"article","1667075","Jie  Xu and Barry L. Nelson and JEFF L. Hong","","","","Industrial Strength COMPASS: A Comprehensive Algorithm and Software for Optimization via Simulation","3:1--3:29","3","29","Optimization via simulation, random search, ranking and selection","10.1145/1667072.1667075","ACM Trans. Model. Comput. Simul.","January 2010","20","1","","February","2010","1049-3301","","","","","","ACM","New York, NY, USA"
"article","3165290","Elisa  Rojas and Roberto  Doriguzzi-Corin and Sergio  Tamurejo and Andres  Beato and Arne  Schwabe and Kevin  Phemius and Carmen  Guerrero","","","","Are We Ready to Drive Software-Defined Networks? A Comprehensive Survey on Management Tools and Techniques","27:1--27:35","27","35","Software-defined networking, debugging, monitoring, network maintenance, profiling, resource management, simulation","10.1145/3165290","ACM Comput. Surv.","June 2018","51","2","","February","2018","0360-0300","","","","","","ACM","New York, NY, USA"
"article","3133900","Laith  Sakka and Kirshanthan  Sundararajah and Milind  Kulkarni","","","","TreeFuser: A Framework for Analyzing and Fusing General Recursive Tree Traversals","76:1--76:30","76","30","Fusion, Locality Optimization, Recursive Tree Traversals","10.1145/3133900","Proc. ACM Program. Lang.","October 2017","1","OOPSLA","","October","2017","2475-1421","","","","","","ACM","New York, NY, USA"
"article","1709095","Fausto  Spoto and Fred  Mesnard and &#201;tienne  Payet","","","","A Termination Analyzer for Java Bytecode Based on Path-length","8:1--8:70","8","70","Abstract interpretation, Java, Java bytecode, termination analysis","10.1145/1709093.1709095","ACM Trans. Program. Lang. Syst.","March 2010","32","3","","March","2010","0164-0925","","","","","","ACM","New York, NY, USA"
"article","2663352","Kumar  Viswanatha and Sharadh  Ramaswamy and Ankur  Saxena and Kenneth  Rose","","","","Error/Erasure-Resilient and Complexity-Constrained Zero-Delay Distributed Coding for Large-Scale Sensor Networks","35:1--35:33","35","33","Distributed source-channel coding, complexity-constrained decoding, error-resilient coding, large-scale sensor networks","10.1145/2663352","ACM Trans. Sen. Netw.","February 2015","11","2","","December","2014","1550-4859","","","","","","ACM","New York, NY, USA"
"article","2701618","Benedict R.  Gaster and Derek  Hower and Lee  Howes","","","","HRF-Relaxed: Adapting HRF to the Complexities of Industrial Heterogeneous Memory Models","7:1--7:26","7","26","Memory models, computer architecture, formal models, programming languages","10.1145/2701618","ACM Trans. Archit. Code Optim.","April 2015","12","1","","April","2015","1544-3566","","","","","","ACM","New York, NY, USA"
"article","3233300","James  Garland and David  Gregg","","","","Low Complexity Multiply-Accumulate Units for Convolutional Neural Networks with Weight-Sharing","31:1--31:24","31","24","ASIC, CNN, FPGA, arithmetic hardware circuits, multiply accumulate, power efficiency","10.1145/3233300","ACM Trans. Archit. Code Optim.","October 2018","15","3","","September","2018","1544-3566","","","","","","ACM","New York, NY, USA"
"article","3306608","Christoph  Czepa and Uwe  Zdun","","","","How Understandable Are Pattern-based Behavioral Constraints for Novice Software Designers?","11:1--11:38","11","38","Controlled experiment, behavioral constraints, declarative business processes, property specification patterns, understandability","10.1145/3306608","ACM Trans. Softw. Eng. Methodol.","April 2019","28","2","","February","2019","1049-331X","","","","","","ACM","New York, NY, USA"
"article","2382586","Patrick K.  Notz and Roger P.  Pawlowski and James C.  Sutherland","","","","Graph-Based Software Design for Managing Complexity and Enabling Concurrency in Multiphysics PDE Software","1:1--1:21","1","21","Scientific computing, multiphysics, object-oriented design, task graph","10.1145/2382585.2382586","ACM Trans. Math. Softw.","November 2012","39","1","","November","2012","0098-3500","","","","","","ACM","New York, NY, USA"
"article","2714575","Jinho  Suh and Chieh-Ting  Huang and Michel  Dubois","","","","Dynamic MIPS Rate Stabilization for Complex Processors","4:1--4:25","4","25","EPI, Power, energy","10.1145/2714575","ACM Trans. Archit. Code Optim.","April 2015","12","1","","April","2015","1544-3566","","","","","","ACM","New York, NY, USA"
"article","2663345","Rakesh  Komuravelli and Sarita V.  Adve and Ching-Tsun  Chou","","","","Revisiting the Complexity of Hardware Cache Coherence and Some Implications","37:1--37:22","37","22","Cache coherence, model checking, multicore, protocol verification, shared memory, software-hardware co-design","10.1145/2663345","ACM Trans. Archit. Code Optim.","January 2015","11","4","","December","2014","1544-3566","","","","","","ACM","New York, NY, USA"
"article","3051093","Swastik  Kopparty and Or  Meir and Noga  Ron-Zewi and Shubhangi  Saraf","","","","High-Rate Locally Correctable and Locally Testable Codes with Sub-Polynomial Query Complexity","11:1--11:42","11","42","Locally correctable codes, asymptotically good codes, locally decodable codes, locally testable codes, query complexity, singleton bound, zyablov bound","10.1145/3051093","J. ACM","June 2017","64","2","","May","2017","0004-5411","","","","","","ACM","New York, NY, USA"
"article","2555301","Zhijia  Zhao and Michael  Bebenita and Dave  Herman and Jianhua  Sun and Xipeng  Shen","","","","HPar: A Practical Parallel Parser for HTML--taming HTML Complexities for Parallel Parsing","44:1--44:25","44","25","HTML parsing, multicore, parallelization","10.1145/2541228.2555301","ACM Trans. Archit. Code Optim.","December 2013","10","4","","December","2013","1544-3566","","","","","","ACM","New York, NY, USA"
"article","2700308","P.  Trifonov","","","","Low-Complexity Implementation of RAID Based on Reed-Solomon Codes","1:1--1:25","1","25","FFT, RAID, Reed-Solomon codes, fast algorithms","10.1145/2700308","Trans. Storage","February 2015","11","1","","February","2015","1553-3077","","","","","","ACM","New York, NY, USA"
"article","2743019","Will  Dietz and Peng  Li and John  Regehr and Vikram  Adve","","","","Understanding Integer Overflow in C/C++","2:1--2:29","2","29","Integer overflow, integer wraparound, undefined behavior","10.1145/2743019","ACM Trans. Softw. Eng. Methodol.","December 2015","25","1","","December","2015","1049-331X","","","","","","ACM","New York, NY, USA"
"article","3290362","Taolue  Chen and Matthew  Hague and Anthony W.  Lin and Philipp  R&#252;mmer and Zhilin  Wu","","","","Decision Procedures for Path Feasibility of String-manipulating Programs with Complex Operations","49:1--49:30","49","30","Decision Procedures, ReplaceAll, Reverse, Straight-Line Programs, String Constraints, Transducers","10.1145/3290362","Proc. ACM Program. Lang.","January 2019","3","POPL","","January","2019","2475-1421","","","","","","ACM","New York, NY, USA"
